RFP,RBP,RFV,RBV,RZA,RXA,RZG,LFP,LBP,LFV,LBV,LZA,LXA,LZG,M
81.5,18.5,40.1,9.1,-7.43,-2.02,0.09,2.62,99.74,0.2,78.1,-10.86,1.28,-0.24,603
68.91,31.09,93.1,42,-7.63,-3.15,0.34,0.26,90.66,,127.1,-8.98,3.81,0.04,608
,43.82,100,78,-8.63,-0.8,0.22,9.34,91.71,,177.1,-9.07,3.82,0.08,613
93.39,6.61,72.1,5.1,-7.24,-4.48,0.52,8.29,87.58,,155.1,-8.63,4.64,0,618
46.71,53.29,56.1,64,-8.09,-2.07,-0.07,12.42,79.13,,144.1,-8.41,4.33,-0.19,623
52.89,47.11,64,57,-8.2,-2.99,0.11,20.87,94.18,,131.1,-8.95,3.18,-0.14,628
23.43,76.57,10.1,33,-7.67,-2.61,0.15,5.82,99.56,0.2,45.1,-8.55,4.04,-0.17,633
0.49,99.51,0.2,41,-8.59,-5.59,0.06,0.44,70.17,28.1,66.1,-9.23,3.9,-0.42,638
4.19,95.81,2.1,48,-8.83,-2.42,-0.12,29.83,88.22,,113.1,-9.87,1.47,0.18,643
54.75,45.25,12.1,10,-9.07,-2.69,0.06,11.78,92.9,,119.1,-8.65,3.92,0.04,648
61.14,38.86,77.1,49,-9.23,-1.2,0.02,,112.991131,,113.1,-10.13,0.68,0.08,653
64.52,35.48,89.1,49,-8.47,-3.12,-0.02,,99.86,,139.1,-9.66,1.64,0,658
87.97,12.03,73.1,10,-8.32,-1.85,-0.21,0.14,99.83,,115.1,-9.2,2.84,-0.01,663
0.22,99.78,0.2,90,-9.25,0.87,0,0.17,90.91,,170.1,-9.17,2.51,0.05,668
43.41,56.59,72.1,94,-9.15,0.15,0.06,9.09,91.05,,123.1,-8.36,5.24,0.1,673
68.16,31.84,47.1,22,-9.13,-1.21,0.2,8.95,86.63,,182.1,-8.83,4.64,0.04,678
56.67,43.33,68,52,-8.69,-1.35,-0.05,13.37,99.89,,188.1,-9.97,-0.54,0.06,683
55.21,44.79,64.1,52,-9.3,-0.79,-0.08,0.11,90,,243.1,-9.75,0.56,0.04,688
42.61,57.39,40.1,54,-9.46,-0.15,0.25,10,78.69,,251.1,-9.82,0.75,0.07,693
64.31,35.69,81.1,45,-8.64,-2.22,0.01,21.31,60.76,40.1,62.1,-8.49,4.89,0.08,698
48.91,51.09,87.1,91,-8.85,-1.63,0.03,39.24,69.12,,170.1,-8.93,3.92,0.02,703
60.22,39.78,65.1,43,-8.32,-2.9,0.04,30.88,96.79,,184.1,-9.31,2.84,0.03,708
52.01,47.99,53.1,49,-8.79,-1.95,-0.08,3.21,84.52,,126.1,-9.19,2.1,0.1,713
0.32,99.68,0.2,63,-9.41,1.01,-0.16,15.48,74.04,,191.1,-9.01,4.62,0.02,718
26.01,73.99,34.1,97,-9.84,0.95,0.22,25.96,75.24,,164.1,-8.67,3.81,0.07,723
32.24,67.76,,141,-9.16,-0.11,0.08,24.76,72.45,,205.1,-8.98,4.01,0.02,728
68.21,31.79,75.1,35,-9,-1.93,0.2,27.55,88.01,,198.1,-9.58,1.62,-0.01,733
,22.95,141,42,-8.75,-1.78,0.06,11.99,95.95,,192.1,-9.94,-1.77,0.06,738
,15.79,176,33,-8.48,-2.66,0.03,4.05,96.05,,243.1,-9.61,1.54,0.05,743
,19.34,171,41,-8.71,-2.3,0,3.95,99.9,,205.1,-9.64,1.36,0.07,748
20.09,79.91,18.1,72,-9.07,0.27,-0.08,0.1,88.54,,132.1,-8.84,5.79,0.05,753
12.81,87.19,,130,-9.75,0.75,0.13,11.46,76.48,,130.1,-8.92,3.68,0.05,758
,17.98,187,41,-8.78,-1.71,0.07,23.52,68.6,,131.1,-8.88,4.25,0.02,763
,23.45,222,68,-8.8,-2.37,0.04,31.4,63.2,,139.1,-8.99,4.2,0,768
,28.2,219,86,-8.72,-2.02,-0.01,36.8,98.24,,229.1,-9.21,2.24,0.04,773
,32.72,,107,-8.63,-2,0.04,1.76,97.19,,176.1,-8.39,3.74,0.07,778
12.64,87.36,,132,-9.36,-0.59,0.08,2.81,81.9,,190.1,-8.93,4.73,0.03,783
,30.88,141,63,-9.29,0.1,0.12,18.1,64.02,,201.1,-9.05,3.73,0.04,788
,22.94,178,53,-8.55,-2.88,0.04,,79.47,,190.1,-8.94,4.01,0.01,793
,31.69,166,77,-9.12,-1.22,0,20.53,92.18,,225.1,-8.85,2.47,0.04,798
20.44,79.56,22.1,86,-9.24,-0.61,-0.09,7.82,99.18,,254.1,-9.49,2.11,0.06,803
6.96,93.04,,135,-9.27,-0.36,0.06,0.82,82.76,,202.1,-9.34,2.86,0.06,808
9.52,90.48,,134,-8.97,0.51,0.04,17.24,72.64,,215.1,-9.16,3.43,0.03,813
52.12,47.88,38.1,35,-9.97,-1.68,0.35,27.36,83.22,,243.1,-9.46,2.65,0.03,818
46.45,,32.1,37,-10.82,-1.82,0.19,16.78,99.92,,238.1,-9.54,1.94,0.01,823
50.88,49.12,58,56,-9.7,-1.68,0.01,0.08,99.92,,256.1,-9.53,1.89,-0.06,828
57.19,42.81,48.1,36,-8.77,-3.17,0.05,0.08,85.77,,247.1,-9.68,0.17,0.06,833
57.78,42.22,56.1,41,-8.89,-2.44,-0.02,14.23,69.02,,138.1,-9.48,3.5,0.86,838
52.56,47.44,42.1,38,-8.99,-1.97,0.08,30.98,89.64,,173.1,-10.32,1.54,1.73,843
66.45,33.55,93.1,47,-9.15,-1.25,-0.04,10.36,83.34,,120.1,-8.59,3.95,0.16,848
58.6,41.4,82.1,58,-9.03,-1.27,0.03,16.66,62.67,,151.1,-9.18,3.73,0.04,853
,47.75,,107,-9.18,-0.9,0.1,37.33,78.19,,172.1,-9.39,2.76,0.01,858
,37.78,140,85,-8.8,-1.97,0.04,21.81,66.3,,173.1,-9.44,2.56,0.03,863
7.22,92.78,,117,-9.81,1.07,-0.07,33.7,80.22,,150.1,-9.28,2.15,0.06,868
58.6,41.4,82.1,58,-9.03,-1.27,0.03,19.78,78.45,,211.1,-9.55,1.71,0.04,873
,47.75,,107,-9.18,-0.9,0.1,21.55,70.19,,200.1,-9.35,2.48,0.06,878
,37.78,140,85,-8.8,-1.97,0.04,29.81,63.4,,213.1,-9.6,2.64,-0.02,883
7.22,92.78,,117,-9.81,1.07,-0.07,,87.61,,212.1,-9.83,-0.51,0.06,888
