RFP,RBP,RFV,RBV,RZA,RXA,RZG,LFP,LBP,LFV,LBV,LZA,LXA,LZG,M
,17.37,186,39.1,-8.44,-2.9,-0.02,29.8,64.27,50.1,90.1,-8.75,2.46,0,1548
,29.68,109,46,-9.58,0.93,0.28,35.73,43.46,86,66.1,-7.77,5.47,0.1,1553
,15.12,242,43.1,-8.3,-2.85,0.05,56.54,34.53,131,69.1,-8.86,4.36,0.02,1558
,7.86,259,22.1,-8.6,-2.35,-0.02,,44.35,103,82.1,-9.08,3.75,0.01,1563
,13.68,190,30.1,-8.35,-1.97,-0.11,,56.97,74.1,98.1,-9.68,2.15,-0.01,1568
,33.54,107,54,-9.75,2.08,0.03,43.03,65.19,,131.1,-9.74,-1.12,0.04,1573
,29.93,213,91,-9.13,0.65,0.07,34.81,49.57,,169.1,-9.67,0.73,0.04,1578
,20.31,153,39,-9.37,-0.1,0.12,,49.3,,137.1,-9.47,1.52,0.08,1583
,8.54,226,21.1,-8.76,-2.6,0.18,,36.47,89,51.1,-8.54,4.85,0.09,1588
,11.26,245,31.1,-8.43,-2.49,0.05,63.53,33.69,138,70.1,-8.83,4.37,0.03,1593
,11.36,274,35.1,-8.54,-2.46,0,,32.51,131,63.1,-8.79,4.2,0.01,1598
,18.85,121,28.1,-9,0.33,-0.17,,82.73,,101.1,-9.85,-0.15,0.03,1603
,28.9,123,50,-9.12,-0.96,0.13,17.27,53.06,,130,-9.69,1.42,0.06,1608
,12.29,272,38.1,-8.39,-2.17,-0.01,,46.94,,122.1,-8.89,3.94,0.02,1613
63.91,36.09,92.1,52,-9.54,0.36,0.01,,63.61,,138.1,-9.46,1.37,0.04,1618
,38.02,150,92,-9.15,-0.09,0.07,36.39,76.25,,154.1,-9.63,1.66,0.04,1623
,16.36,113,22.1,-9.77,0.16,0.22,23.75,64.32,51.1,92.1,-8.73,3.07,0.08,1628
,11.41,226,29.1,-8.44,-2.68,-0.02,35.68,38.85,,113.1,-8.85,4.05,0.01,1633
,11.84,239,32.1,-9.05,-0.61,-0.09,,40.18,,102.1,-9.37,2.13,-0.02,1638
68.09,31.91,96,45,-9.67,-0.2,0.17,,46.6,,143.1,-9.46,1.32,-0.01,1643
,23.29,112,34,-9.35,-0.62,0.15,,66.13,,119.1,-9.65,0.87,0.1,1648
,14.33,156,26.1,-8.81,-2.3,0.11,33.87,41.69,,100.1,-9.25,3.11,0.05,1653
99.72,0.28,70,0.2,-7.76,-2.53,-0.52,,76.94,,127.1,-9.39,0.3,-0.64,1658
,10,217,24.1,-9.15,-1.71,0.04,23.06,53.98,,109.1,-8.35,2.53,-0.04,1663
,12.74,165,24.1,-9.08,-0.78,0.03,46.02,56.68,,136.1,-9.33,2.94,0.02,1668
,9.5,182,19.1,-9.05,-2.95,0.07,,44.84,,143.1,-9.31,2.57,0.05,1673
,10.78,158,19.1,-9.05,-1.72,0.03,,48.35,,145.1,-9.18,3.12,0.03,1678
73.36,26.64,47.1,17.1,-9.28,-0.56,-0.03,,99.85,,130.1,-9.3,0.67,0.01,1683
70.78,29.22,51.1,21.1,-9.44,0.3,0.21,0.15,95.57,,110.1,-10.17,-0.16,0.04,1688
,6.44,103.1,7.1,-8.82,-1.09,0.06,4.43,85.02,,131.1,-9.43,2.15,0.04,1693
70.09,29.91,82,35,-9.87,0.79,0.1,14.98,93.32,,211.1,-9.23,0,0.05,1698
,11.72,159,21.1,-9.03,-0.17,-0.02,6.68,69.93,,172.1,-9.68,1.52,0.18,1703
,16.72,140,28.1,-9.23,0.27,0.06,30.07,73.86,,192.1,-9.74,0.68,0.01,1708
,15.11,141,25.1,-9.16,-0.62,0.11,26.14,69.27,,196.1,-9.3,1.16,0.03,1713
41.69,58.31,30.1,42.1,-9.75,-2.03,0.18,30.73,97.27,,146.1,-8.64,0.55,-0.07,1718
63.89,36.11,16.1,9.1,-9.93,-1.68,0.32,2.73,99.83,,115.1,-10.12,-0.37,-0.46,1723
84.86,,51,9.1,-10.76,-4.18,-0.64,0.17,99.14,0.2,23.1,-7.2,7.4,0.48,1728
99.79,0.21,93,0.2,-3.44,-3.5,0,0.86,16.53,51,10.1,-11.65,4.71,0.56,1733
71.58,28.42,48.1,19.1,-6.42,-5.22,-0.5,83.47,50.87,88,91.1,-6.78,7.61,0.45,1738
82.54,17.46,76.1,16.1,-6.55,-5.73,-0.26,49.13,75.61,18.1,56.1,-7.36,6.03,0.23,1743
,34.57,104.1,55,-7.06,-3.77,-0.14,24.39,57.88,56.1,77.1,-8.13,4.24,0.14,1748
61.25,38.75,90.1,57,-7.84,-2.87,0.01,42.12,61.45,49,78.1,-8.34,5.78,0.1,1753
,41.97,105.1,76,-7.49,-2.64,0.15,38.55,68.82,44,97.1,-8.52,5.44,-0.13,1758
,33.94,105.1,54,-6.49,-3.34,0.31,31.18,28.51,83,33.1,-8.02,5.09,-0.26,1763
,28.57,120,48,-7.71,-1.8,0.28,71.49,29.42,65,27.1,-8.64,3.86,-0.04,1768
,-2.02,96,-1.9,-4.79,-6.13,0.02,70.58,54.8,57,69.1,-7.62,6.05,-0.11,1773
92.49,7.51,75.1,6.1,-7.25,-3.28,0.26,45.2,18.6,123,28.1,-8.74,4.13,-0.32,1778
80.83,19.17,80.1,19,-6.52,-3.86,0.3,,22.65,154,45.1,-8.3,5.34,-0.17,1783
77.45,22.55,79,23,-8.36,-3.37,0.25,,36.94,106,62.1,-8.95,3.86,-0.3,1788
,24.83,112,37,-8.48,-3.26,0.18,,53.79,,100.1,-9.38,3.68,-0.11,1793
68.57,31.43,72,33,-8.28,-2.05,-0.02,46.21,88.91,,137.1,-9.66,2.93,0.12,1798
,12.03,125,17.1,-8.79,-3.08,-0.07,11.09,99.87,,156.1,-9.95,0.05,0.17,1803
99.68,,63.1,0.2,-10.77,-3.9,-1.04,0.13,89.84,,160.1,-9.65,3.53,0.85,1808
,,77.1,-5.9,-15.81,-5.88,0.19,10.16,76.11,31.1,99.1,-9.8,3.61,0.07,1813
,22.89,128,38,-9.06,-2.1,0.03,23.89,36.35,170,97.1,-9.95,0.39,0.03,1818
,17.14,145,30,-9.06,-2.06,0.08,,37.72,162,98.1,-8.99,2.22,0.08,1823
88.69,11.31,87,11.1,-9.51,-2.12,0.02,,41.91,136,98.1,-9.49,1.8,0.11,1828
78.52,21.48,84.1,23,-7.39,-4.18,-0.13,,70.65,39.1,94.1,-9.26,0.81,0.18,1833
,18.74,104.1,24,-8.57,-3.35,-0.26,29.35,68.47,,100.1,-9.12,4.44,0.28,1838
56.45,,66.1,51,-10.21,-1.8,0.17,31.53,84.53,12.1,66.1,-9.9,3.7,0.12,1843
,10,144,16,-8.5,-3.67,-0.35,15.47,54.36,68.1,81.1,-9.21,3.62,0.48,1848
,28.06,100,39,-6.28,-4.37,-0.24,45.64,69.68,,138.1,-8.99,5.08,0.31,1853
99.62,,52.1,0.2,-17.26,-5.95,-0.63,30.32,2.41,8.1,0.2,-10.63,-6.4,3.72,1858
41.47,58.53,58.1,82,,-12.96,0.49,97.59,60.92,,109.1,0,10.63,0.03,1863
99.58,0.42,47.1,0.2,-7.01,-5.52,-1.89,39.08,50,0.2,0.2,0,13.15,2.8,1868
82.61,17.39,95,20,-4.72,-5.53,0.01,50,68.96,40.1,89.1,-7.2,7.49,-0.08,1873
,22.56,127,37,-6.8,-4.13,-0.04,31.04,75.99,,111.1,-7.36,4.14,-0.13,1878
74.07,25.93,80,28,-6.36,-3.09,-0.16,24.01,99.86,,145.1,-9.28,4.63,0.18,1883
,14.29,168,28,-8.38,-2.16,0.02,0.14,74.53,,167.1,-9.48,2.74,-0.14,1888
81.7,18.3,49.1,11,-8.29,-0.59,-0.47,25.47,79.03,,128.1,-9.43,3.06,0.27,1893
50.99,49.01,80.1,77,-8.69,-0.72,-0.8,20.97,99.77,0.2,88.1,-10.42,1.38,0.94,1898
,39.71,123,81,-8,-2.4,-0.4,0.23,95.85,,164.1,-9.35,2.33,0.44,1903
28.34,71.66,,152,-9.5,-0.98,-0.39,4.15,97.01,,198.1,-9.73,1.51,0.53,1908
47.37,52.63,53.1,59,-6.67,-6.08,0.52,2.99,0.48,41.1,0.2,-8.83,4.24,-0.17,1913
,9.94,145,16,-8.9,-3.75,0.21,99.52,70.56,40.1,96.1,-10.87,0.32,-0.1,1918
,19.08,140,33,-8.55,-3.43,0.14,29.44,82.85,,155.1,-8.99,3.08,-0.02,1923
,0.54,203,1.1,-8.6,-1.59,-0.09,17.15,84.98,,108.1,-9.35,2.35,0.01,1928
,3.92,223,9.1,-7.84,-3.03,0.12,15.02,30.18,95.1,41.1,-8.58,4.54,0.09,1933
,0.05,217,0.1,-9.95,-1.03,-0.03,69.82,64.86,,133.1,-10.68,1.89,0.05,1938
,4.05,263,11.1,-8.9,-1.54,-0.03,35.14,75.42,,169.1,-9.37,3.66,0.04,1943
,0.62,177,1.1,-8.48,-2.4,0.05,24.58,67.87,,148.1,-8.66,5.21,0.02,1948
,10.24,184,21,-9.42,0.29,0.03,32.13,64.95,,200.1,-9.54,-0.1,0.06,1953
,7.94,233,20.1,-8.43,-1.57,-0.02,,57.01,,130.1,-9.32,3.22,0.02,1958
,7.11,145,11.1,-9.14,0.77,-0.1,42.99,67.51,,183.1,-9.3,1.93,-0.01,1963
,13.71,151,24,-9.27,0.99,0.07,32.49,78.83,,220.1,-9.78,0.04,0.07,1968
,10.28,253,29,-9.13,0.29,0.04,21.17,53.39,,166.1,-9.63,1.51,0.03,1973
,22.22,203,58,-9.13,0.52,0.1,,64.63,,232.1,-9.91,-0.12,0.06,1978
,13.53,230,36,-9.28,-0.81,0.17,,67.49,,166.1,-9.28,4.93,0.09,1983
,19.39,316,76,-8.66,-1.73,0.03,32.51,48.22,,161.1,-9.18,3.89,0.03,1988
,16.35,133,26,-8.5,-0.76,-0.22,,88.29,,159.1,-9.17,3.61,0,1993
67.83,32.17,78,37,-9.22,0.34,0.14,11.71,73.43,,166.1,-9.79,1.77,0.06,1998
,9.89,255,28,-8.94,-1.47,0.01,26.57,58.75,,114.1,-8.9,4.33,0.04,2003
,26.42,142,51,-9.18,-0.43,0.32,41.25,77.09,,155.1,-10.99,-1.23,0.09,2008
,8.97,264,26,-8.36,-2.83,0.03,22.91,55.34,,130.1,-8.93,3.96,0.03,2013
,5.53,275,16.1,-8.66,-2.3,0.03,,51.31,,119.1,-8.68,4.13,0.03,2018
,5.69,267,16.1,-8.4,-2.56,0.05,,62.65,,146.1,-8.84,4.31,0.04,2023
,7.58,233,19.1,-8.46,-2.61,-0.1,37.35,68.95,,140.1,-8.95,4.2,0,2028
,34.27,117,61,-9.33,0.73,-0.04,31.05,63.17,,144.1,-9.69,0.63,0.03,2033
,29.67,,116,-9.12,0.21,0.05,36.83,55.72,,205.1,-9.64,0.89,0.03,2038
,10.92,253,31,-8.84,-0.71,0.19,,47.96,,163.1,-9.51,1.81,0.06,2043
,23.74,167,52,-9,0.49,0.07,,60.21,,183.1,-9.69,2.32,0.04,2048
,29.67,192,81,-8.43,-4.52,0.14,,49.53,,152.1,-8.24,4.9,0.05,2053
,2.71,219,6.1,-9.28,1.87,-0.05,,53.5,,184.1,-9.06,2.4,-0.02,2058
,2.82,245,7.1,-8.98,-1.18,0.11,,54.53,,151.1,-9.61,2.9,0.07,2063
,3.75,259,10.1,-9.61,-1.56,0.03,,53.07,,165.1,-8.48,3.01,-0.03,2068
,2.59,229,6.1,-8.96,-2,0.05,,60.54,,184.1,-9.19,2.62,0.07,2073
96.77,3.23,93,3.1,-8.54,-2.69,0.01,,76.23,,199.1,-8.73,1.7,0.12,2078
41.44,58.56,65.1,92,-8.26,-4.46,0.36,23.77,99.82,,113.1,-8.77,1.1,-0.5,2083
51.71,48.29,62.1,58,-7.52,-3.3,-0.08,0.18,99.88,,166.1,-10.13,3.42,0.29,2088
21.51,78.49,,139,-8.8,0.99,0.65,0.12,99.83,,117.1,-9.31,2.47,-0.69,2093
19.47,80.53,,141,-9.1,0.79,0.45,0.17,80.94,,115.1,-8.56,5.23,-0.43,2098
23.04,,14.1,47.1,-10.31,-0.38,0.36,19.06,99.58,0.2,47.1,-7.75,5.82,-0.07,2103
78.61,21.39,26.1,7.1,2.14,10.28,8.73,0.42,98.06,0.2,10.1,9.05,6.22,-8.73,2108
99.72,0.28,72.1,0.2,-8.3,-3.13,0.88,1.94,73.72,,118.1,-6.64,8.39,-0.22,2113
73.13,26.87,41.1,15.1,-7.3,-2.69,0.14,26.28,62.27,,109.1,-7.55,6.98,-0.2,2118
63.75,36.25,37.1,21.1,-7.29,-3.64,-0.2,37.73,85.03,14.1,80.1,-8.24,5.47,-0.08,2123
77.36,22.64,72.1,21.1,-8.4,-1.6,-0.14,14.97,87.29,,138.1,-8.73,5.14,0.2,2128
82.93,17.07,83.1,17.1,-7.96,-2.64,-0.07,12.71,66.65,,114.1,-8.83,3.85,0.07,2133
,19.4,100.1,24.1,-6.76,-1.67,0.09,33.35,76.02,,127.1,-9.62,2.18,-0.26,2138
69.17,30.83,45.1,20.1,-6.66,0.77,0.01,23.98,69.52,28.1,64.1,-8.84,2.54,-0.38,2143
85.79,14.21,79.1,13.1,-8.65,-4.58,0.41,30.48,69.62,,103.1,-9.28,-0.46,-0.29,2148
,32.76,121.1,59,-9.72,-0.93,0.22,30.38,71.62,,174.1,-8.47,1.69,-0.17,2153
,5.21,111,6.1,-8.18,0.24,0.24,28.38,77.41,,175.1,-9.03,3.44,-0.01,2158
73.51,26.49,64.1,23.1,-6.57,-3.23,-0.07,22.59,77.36,,113.1,-9.03,4.23,-0.15,2163
,24.59,138,45,-8.18,-2.25,0.14,22.64,66.04,,138.1,-9.07,3.96,-0.06,2168
,23.17,113.1,34.1,-8.48,-1.99,0.03,33.96,71.3,25,62.1,-8.52,6.16,-0.29,2173
,30.47,162,71,-9.82,1.2,0.1,28.7,45.87,78,66.1,-9.22,3.04,-0.01,2178
,17.72,163,35.1,-8.76,-2,0.34,54.13,29.52,122,51.1,-8.94,3.8,-0.28,2183
62.81,37.19,71.1,42.1,-8.32,-0.57,-0.51,,58.61,60.1,85.1,-9.16,3.04,-0.01,2188
65.83,34.17,81.1,42.1,-9.86,1.48,0.17,41.39,79.97,,144.1,-10.66,-0.2,0.63,2193
,26.52,100,36.1,-8.44,-3.66,0.26,20.03,61.67,33,53.1,-9.35,2.67,-0.28,2198
72.57,27.43,82,31,-8.49,-5.4,0.27,38.33,71.41,,135.1,-9.08,2.05,0.15,2203
,18.59,105.1,24,-9.1,-2.43,0.03,28.59,87.9,,167.1,-9.03,2,-0.09,2208
,16.9,113.1,23,-8.89,-1.42,0.01,12.1,72.54,,169.1,-9.2,2.75,0.05,2213
,22.93,131.1,39,-8.75,-1.6,0.02,27.46,75.84,,160.1,-9.99,0.01,0.02,2218
,22.22,126,36,-8.84,-1.91,0.07,24.16,51.97,,120.1,-9.42,1.91,0.06,2223
,22.43,166,48,-8.6,-2.25,0.01,,57.32,,149.1,-9.02,3.62,0.04,2228
,18.18,162,36,-8.69,-2.19,0.02,,50.67,,155.1,-9.16,3.44,0.04,2233
,23.02,114,34.1,-9.23,0.23,-0.05,,58.42,,146.1,-9.45,1.73,0,2238
66.64,33.36,80.1,40.1,-9.99,1.82,0.01,,60.07,,215.1,-9.55,1.2,0.05,2243
,34.67,179,95,-9.05,-0.68,0.04,,54.06,,247.1,-9.53,1.11,0.04,2248
,28.99,147,60,-9.03,-0.02,0.02,,64.15,,245.1,-9.5,0.89,0.02,2253
,36.11,115,65,-9,-0.23,0.05,,66.31,,240.1,-9.63,0.3,0.02,2258
,27.4,151,57,-9.23,0.45,0.03,,84.22,,240.1,-9.69,1.09,0.03,2263
,16.55,126.1,25,-9.1,-0.29,0.06,15.78,70.79,,235.1,-9.93,-0.33,0.11,2268
,14.79,110,19.1,-8.96,-1.1,0.02,29.21,74.31,,194.1,-9.6,1.6,0,2273
66.63,,56.1,28.1,-10.59,-2.3,0.18,25.69,86.79,,178.1,-9.31,2.06,-0.02,2278
78.34,21.66,98,27.1,-7.84,-3.55,-0.07,13.21,58.47,,159.1,-8.97,4.88,0.16,2283
,29.56,105.1,44.1,-7.73,-3.65,-0.09,,99.9,,197.1,-9.02,4.22,0.18,2288
,22.13,120,34.1,-7.93,-3.59,-0.19,0.1,83.69,,257.1,-9.5,3.74,0.27,2293
,35.67,101,56,-6.85,-3.62,-0.11,16.31,87.81,,224.1,-9.1,3.85,0.27,2298
79.8,20.2,24.1,6.1,2.12,7.96,-8.73,,-2.6,-7.9,0.2,0,26.36,5.75,2303
34.04,65.96,51.1,99,-7.58,-4.32,-0.63,,85.61,,173.1,-6.88,8.09,0.13,2308
51.22,48.78,23.1,22,-5.71,-0.12,-0.48,14.39,95.31,,124.1,-7.65,-0.45,2.92,2313
45.48,54.52,15.1,18.1,,-18.07,6.15,4.69,99.87,,152.1,-14.69,7.02,-0.3,2318
41.85,58.15,51.1,71,-6.95,-0.3,0.09,,138.42144,,144.1,-13.48,0.96,0.2,2323
42.73,57.27,,106,-8.16,-0.91,0.02,,82.79,,212.1,-10.07,2.04,0.04,2328
57.17,42.83,84.1,63,-7.97,-2.11,0.2,17.21,80.49,,219.1,-8.81,3.43,-0.03,2333
59.26,40.74,93.1,64,-7.57,-2.13,0.14,19.51,77.29,,218.1,-10.12,3.09,-0.05,2338
,16.73,105,21.1,-7.98,-2.13,-0.19,22.71,71.89,,128.1,-9.22,4.86,0.32,2343
50.03,49.97,72.1,72,-8.62,-1.97,-0.04,28.11,99.86,,145.1,-12.92,-0.7,-0.07,2348
28.06,71.94,35.1,90,-9.58,2.52,0.02,0.14,95.96,,216.1,-7.49,4.91,-0.13,2353
15.23,84.77,,123,-9.96,1.3,0.35,4.04,85.26,,203.1,-8.37,2.72,-0.13,2358
61.45,38.55,16.1,10.1,-0.62,7.07,7.02,14.74,50,0.2,0.2,-13.43,2.47,-8.73,2363
3.17,96.83,0.2,6.1,0.31,-1.82,3.51,50,0.52,38,0.2,-18.45,5.71,0.29,2368
79.13,20.87,91,24,-2.11,-2.64,0.51,99.48,53.63,,104.1,-8.15,4.15,-0.18,2373
72.19,27.81,70.1,27,-7.09,-2.66,-0.12,46.37,94.94,,133.1,-8.6,5.07,-0.08,2378
,,109,44,-10.33,-2.85,0.09,5.06,85.86,,122.1,-8.99,2.55,0,2383
,39.53,104,68,-8.2,-2.3,-0.01,14.14,79.18,,122.1,-10.29,0.85,0.04,2388
51.18,48.82,67.1,64,-8.12,-2.3,-0.13,20.82,53.18,,126.1,-11.9,-5.05,-0.02,2393
,39.93,,115,-9.14,-0.29,0.08,,55.18,,187.1,-9.5,1.19,0.08,2398
,40.17,128.1,86,-9.07,2.39,-0.12,,73.53,,161.1,-9.42,2.58,0.07,2403
,7.07,159,12.1,-9.05,-1.27,0.17,26.47,43.84,36,28.1,-9.16,3.69,0.12,2408
,29.68,154,65,-8.49,-1.78,-0.02,56.16,14.94,46.1,8.1,-9.93,0.9,0,2413
,37.26,133,79,-8.84,0.99,-0.02,85.06,76.2,,176.1,-9.53,1.81,0.02,2418
,23.13,216,65,-8.8,-0.44,0.1,23.8,60.4,,157.1,-9.68,0.9,0,2423
,37.37,,139,-9.1,0.01,0.04,,66.47,,216.1,-10.08,-0.26,0.04,2428
,28.89,,104,-9.18,0.72,0.06,,55.46,,234.1,-9.66,0.7,0.03,2433
,29.25,208,86,-9.08,0.14,0.09,,64.5,,207.1,-9.65,1.36,0.04,2438
,33.12,,102,-9.26,-0.26,-0.03,,62.82,,228.1,-9.57,1.66,0.04,2443
,39.63,,107,-9.23,0.91,0.04,,83.48,,147.1,-9.62,1.04,0.02,2448
,47.55,,126,-9.18,0.79,0.06,16.52,85.17,,155.1,-9.6,0.72,0.04,2453
,31.91,192,90,-9.02,-0.69,0.06,14.83,76.8,,129.1,-9.54,1.38,0.03,2458
,34.27,,110,-9.02,-0.86,0.17,23.2,58.96,,145.1,-9.64,1.59,0.06,2463
,31.67,,108,-9.03,-0.7,-0.03,,46.66,,111.1,-9.17,3.25,0.02,2468
,48.54,,118,-9.2,0.96,-0.05,,58.99,,138.1,-9.7,0.78,0.03,2473
,41.55,,145,-9.14,0.16,0.07,41.01,70.95,,166.1,-9.62,1.42,0.03,2478
,33.55,,102,-8.78,-1.51,0.18,29.05,46.15,,125.1,-9.21,2.35,0.06,2483
,36.26,167,95,-9.26,-0.42,-0.07,,52.43,,163.1,-9.06,3.21,-0.01,2488
,35.1,,106,-8.77,-0.19,0.03,,42.38,,161.1,-9.46,2.45,0.01,2493
,9.16,248,25,-8.96,-1.16,0.09,,46.93,,168,-9.38,1.99,0.05,2498
,2.38,127.1,3.1,-6.25,-6.69,-0.68,,74.61,,138.1,-9.24,5.29,0.07,2503
,4.8,240,12.1,-9.18,-1.37,0.05,25.39,54.73,,174.1,-9.35,1.75,0.05,2508
,12.26,108.1,15.1,-9.14,-2.38,0.22,,85.35,,152.1,-9.44,1.11,0.1,2513
,25.29,130,44,-7.56,-1.91,0.08,14.65,87.94,,110.1,-9.71,2.79,-0.05,2518
,38.72,144,91,-8.27,-1.38,0.09,12.06,50.31,89,90.1,-9.85,1.57,0.2,2523
42.89,57.11,,116,-8.59,-1.06,0.54,49.69,82.31,,112.1,-9.07,3.89,-0.28,2528
23.38,76.62,,115,-8.31,-0.26,0.46,17.69,104.311211,,121.1,-9.18,4.14,-0.38,2533
20.6,79.4,,116,-9.62,0.8,0.34,-4.31,109.781111,,111.1,-9.04,3.69,-0.14,2538
50,50,7.1,7.1,11.39,-9.38,8.73,-9.78,84.62,0.2,1.1,-13.45,8.43,-5.42,2543
,16.02,131.1,25,-3.78,1.93,0.1,15.38,97.26,0.2,7.1,-10.17,2.12,-1.26,2548
99.67,0.33,60.1,0.2,-5.07,-7.96,1.84,,117.93651,-9.9,65.1,-13.99,2.97,-0.63,2553
98.17,1.83,59.1,1.1,-8.48,-4.66,-0.05,,71.59,,106.1,-7.22,5.94,0.02,2558
88.29,11.71,61.1,8.1,-7.44,-3.95,-0.01,28.41,62.7,41.1,69.1,-8.49,5.08,0.05,2563
81.65,,76.1,17.1,-10.46,-8.71,0.38,37.3,99.85,,130.1,-8.83,4.71,0.2,2568
57.26,42.74,67,50,-8.97,-2.8,-0.02,0.15,69.62,27.1,62.1,-10.26,2.06,0.05,2573
84.24,15.76,70,13.1,-9.79,-3.52,1.69,30.38,29.64,31.1,13.1,-9.23,-3.39,-1.83,2578
41.97,58.03,,112,-8.96,-0.28,0.08,70.36,73.56,,117.1,-9.6,2.85,0.1,2583
60.4,39.6,96.1,63,-9.16,-0.35,-0.08,26.44,56.56,76.1,99.1,-9.65,3.31,0.14,2588
93.21,6.79,70,5.1,-8.84,-2.63,0.02,43.44,68.08,,162.1,-9.27,3.55,0.11,2593
51.72,48.28,90,84,-9.74,-0.06,-0.03,31.92,88.31,,197.1,-9.28,2.6,0.15,2598
,37.13,127,75,-8.73,-1.45,0.19,11.69,47.34,,106.1,-9.21,2.83,0.04,2603
,18,164,36,-8.83,-2.47,0.14,,25.83,49.1,17.1,-8.76,4.06,-0.21,2608
26.85,73.15,,112,-9.17,0.12,-0.36,74.17,99.78,0.2,89.1,-10.23,0.86,0.59,2613
33.87,66.13,46.1,90,-8.37,-2.44,0.25,0.22,61.57,45,72.1,-9.36,3.01,0.27,2618
,13.25,131,20,-8.36,-3.75,0.2,38.43,28.4,149,59.1,-9.13,2.5,-0.09,2623
43.53,56.47,74,96,-8.88,-2.37,0.2,,38.87,,101.1,-9.07,2.52,-0.03,2628
,25,108,36,-8.53,-3.57,0.15,,34.35,176,92.1,-9.07,4.09,-0.06,2633
,5,116,6.1,-8.53,-3.06,-0.01,,61.24,,101.1,-9.36,2.64,-0.04,2638
,17.36,129,27.1,-8.93,-2.02,0.03,38.76,45.23,,137.1,-9.39,2.06,0.03,2643
,14.93,143,25.1,-9.05,-2.04,0.01,,45.19,,117.1,-9.14,3.08,0.05,2648
,23,164,49,-8.86,-2.3,0.04,,30.49,137,60.1,-9.24,2.98,0.06,2653
,15.49,191,35,-8.82,-1.92,0.04,,44.96,,111.1,-9.4,2.19,0.01,2658
99.72,0.28,71.1,0.2,-5.17,-1.02,0.45,,48.32,91,85.1,-8.7,3.27,-0.11,2663
,10.67,118,14.1,-8.87,-0.52,0.08,51.68,69.52,,171.1,-9.28,0.71,-0.04,2668
,3.69,159,6.1,-9.03,-0.48,0.03,30.48,67.54,,158.1,-9.72,0.1,0.11,2673
73.15,26.85,79,29,-9.63,-0.94,0.01,32.46,65.64,,168.1,-9.22,1.49,0.01,2678
72.6,27.4,40,15.1,-6.89,-4.16,-0.09,34.36,99.83,,117.1,-9.34,1.09,-0.15,2683
77.06,,84,25,-11.33,2.63,-0.16,0.17,34.97,,101.1,-9.22,1.92,0.36,2688
91.34,8.66,96,9.1,-8.56,-3.58,-0.33,,65.97,,155.1,-7.96,6.18,0.36,2693
,11.73,143,19,-8.7,-2.76,-0.15,34.03,54.46,77,92.1,-9.63,2.9,0.37,2698
29.53,70.47,,105,-8.89,-2.96,0.04,45.54,83.9,,151.1,-9.88,2.71,0.18,2703
47.09,52.91,17,19.1,-4.02,13.41,-8.73,16.1,7.91,106,9.1,-8.53,8.89,-0.34,2708
,19.05,119,28,-5.36,-8.52,-0.08,,0.21,93,0.2,-41.72,-2.34,0.87,2713
46.07,53.93,24,28.1,-3.44,-5.4,-1.15,99.79,95.35,0.2,4.1,-0.38,3.83,2.92,2718
36.32,63.68,21.1,37,-6.45,-3.88,-0.23,4.65,51.98,,106.1,-9.11,5.16,0.18,2723
,3.39,117,4.1,-8.56,-3.68,-0.48,48.02,73.56,10.1,28.1,-9.95,3.2,-0.29,2728
77.23,22.77,58,17.1,-9.84,-4.26,0.04,26.44,0.41,48,0.2,-9.58,4.38,0.12,2733
,0.15,136,0.2,-8.19,-2.79,-0.05,99.59,0.6,33.1,0.2,-9.17,3.76,0.15,2738
53.07,46.93,44.1,39,-6.18,-1.97,-0.06,99.4,96.57,2.1,59.1,-11.67,-2.49,0.16,2743
38.37,61.63,,106,-8.17,-1.74,0.26,3.43,99.71,0.2,69.1,-9.53,2.77,0.23,2748
64.29,35.71,99,55,-8.25,-3.41,-0.08,0.29,21.68,69,19.1,-9.05,5.43,-0.28,2753
14.42,85.58,,149,-8.88,-0.56,-0.47,78.32,99.67,0.2,61.1,-9.03,2.08,0.42,2758
13.54,86.46,,173,-9.73,4.53,-0.19,0.33,95.7,,180.1,-9.56,1.94,0.6,2763
58.75,41.25,64.1,45,-8.49,-1.07,0.37,4.3,46.89,17.1,15.1,-8.21,5.67,-0.05,2768
,32.03,104,49,-8.81,1.04,0.49,53.11,91.27,9.1,95.1,-8.72,4.42,-0.23,2773
47.01,52.99,62.1,70,-9.52,-3.82,0.28,8.73,81.44,,114.1,-8.59,5.19,-0.17,2778
29.92,70.08,,115,-7.56,-3.11,0.22,18.56,72.11,,155.1,-7.73,6.3,-0.08,2783
44.65,55.35,37.1,46,-6.94,-4.13,0.85,27.89,98.41,,130.1,-8.88,3.31,-1.36,2788
43.96,56.04,,116,-8.2,-4.43,0.04,1.59,99.84,,125.1,-9.42,3.28,0,2793
45.03,,68,83,-10.09,0.9,0.07,0.16,64.86,46.1,85.1,-9.22,3.06,-0.19,2798
42.61,57.39,,132,-8.71,-1.41,0.13,35.14,65.57,,181.1,-9.72,1.03,-0.01,2803
34.82,65.18,,161,-8.92,-1.67,0.07,34.43,69.72,,182.1,-9.63,2.64,0.05,2808
35.45,64.55,,124,-9.22,-0.61,-0.05,30.28,58.35,,147.1,-9.46,3.04,0.03,2813
42.31,57.69,66,90,-8.88,-2.04,0.01,,71.02,,169.1,-9.61,1.86,0.01,2818
